Oryginalne dane
         X         Y
0      0.0  6.114282
1      1.0  6.765968
2      2.0  6.892243
3      3.0  7.681926
4      4.0  5.582837
5      5.0  6.730956
6      6.0  6.033650
7      7.0  7.008624
8      8.0  6.028172
9      9.0  7.017605
10    10.0  6.800900
11    11.0  6.489524
12    12.0  7.517198
13    13.0  5.582824
14    14.0  5.685107
15    15.0  5.410762
16    16.0  7.424001
17    17.0  5.136440
18    18.0  6.611620
19    19.0  5.755720
20    20.0  6.223023
21    21.0  7.099435
22    22.0  6.118785
23    23.0  5.842128
24    24.0  7.101559
25    25.0  6.503326
26    26.0  7.724519
27    27.0  6.396993
28    28.0  6.190965
29    29.0  5.496725
30    30.0  5.355340
31    31.0  6.231335
32    32.0  6.427120
33    33.0  6.096192
34    34.0  5.747174
35    35.0  6.501500
36    36.0  6.423618
37    37.0  6.635442
38    38.0  6.610094
39    39.0  5.037677
40    40.0  6.042232
41    41.0  6.775265
42    42.0  6.912741
43    43.0  5.870364
44    44.0  6.813761
45    45.0  6.832519
46    46.0  6.955079
47    47.0  5.250194
48    48.0  7.095035
49    49.0  4.749631
50    50.0  6.732154
51    51.0  5.623731
52    52.0  6.393390
53    53.0  6.406021
54    54.0  5.872756
55    55.0  6.225532
56    56.0  5.156150
57    57.0  6.861316
58    58.0  5.626523
59    59.0  8.311041
60    60.0  6.055741
61    61.0  6.892082
62    62.0  6.218679
63    63.0  5.437088
64    64.0  5.622584
65    65.0  5.230345
66    66.0  6.991842
67    67.0  6.103018
68    68.0  6.826608
69    69.0  6.485233
70    70.0  5.624888
71    71.0  2.327086
72    72.0  2.628205
73    73.0  2.986067
74    74.0  1.920651
75    75.0  3.304253
76    76.0  3.732273
77    77.0  2.329386
78    78.0  0.469461
79    79.0  3.078939
80    80.0  2.642542
81    81.0  1.955622
82    82.0  3.812412
83    83.0  3.461983
84    84.0  1.704710
85    85.0  3.105353
86    86.0  3.779727
87    87.0  2.643589
88    88.0  1.677652
89    89.0  2.436356
90    90.0  2.462534
91    91.0  1.995003
92    92.0  2.633138
93    93.0  3.066582
94    94.0  2.850174
95    95.0  2.770499
96    96.0  3.411397
97    97.0  2.935826
98    98.0  0.953262
99    99.0  2.536431
100  100.0  3.081132
101  101.0  2.398218
102  102.0  1.601896
103  103.0  3.097131
104  104.0  3.022800
105  105.0  2.572898
106  106.0  3.358189
107  107.0  1.419017
108  108.0  4.391950
109  109.0  1.665894
110  110.0  2.469931
111  111.0  3.012739
112  112.0  3.582263
113  113.0  2.851330
114  114.0  2.076051
115  115.0  4.095835
116  116.0  2.471381
117  117.0  4.250625
118  118.0  3.525436
119  119.0  2.869658
120  120.0  2.023881
121  121.0  3.304980
122  122.0  2.400788
123  123.0  3.124985
124  124.0  2.724994
125  125.0  2.807859
126  126.0  2.727461
127  127.0  1.886817
128  128.0  2.601464
129  129.0  3.313624
130  130.0  1.375417
131  131.0  6.186345
132  132.0  8.263246
133  133.0  8.295581
134  134.0  6.741187
135  135.0  7.112792
136  136.0  8.162738
137  137.0  6.413281
138  138.0  7.149528
139  139.0  8.828346
140  140.0  7.385671
141  141.0  6.792183
142  142.0  7.379027
143  143.0  7.034860
144  144.0  7.551548
145  145.0  8.492323
146  146.0  7.436748
147  147.0  6.669158
148  148.0  7.686599
149  149.0  8.146606
